,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IS_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics
0,7507.0,1541.0,9054.0,3933.33333333,4396.0,6600.0,56998.901098899994,3505.0,712.0,30401.0,8123.0,45467.0,6635.0,2197.0,4672.0,2901.0,1968.0,39836.0,1097.0,670.0,723.0,430.0,888.0,12376.0,11588.0,16882.0,6178.0,6096.0,4495.0,13240.0,1506.0,3135.0
1,7564.0,1538.0,9191.0,4049.49494949,4432.0,6378.0,57715.38461540001,3456.0,725.0,30685.0,8042.0,46319.0,6816.0,2237.0,4744.0,3031.0,1949.0,41714.0,1121.0,686.0,732.0,434.0,930.0,12717.0,11262.0,17305.0,6091.0,6068.0,4564.0,13227.0,1516.0,3214.0
2,7608.0,1536.0,9392.0,4034.34343434,4419.0,6367.0,58025.27472530001,3585.0,721.0,31182.0,8046.0,45982.0,6786.0,2267.0,4839.0,3012.0,1944.0,41957.0,1141.0,645.0,738.0,442.0,920.0,12771.0,11603.0,17665.0,6401.0,6190.0,4581.0,12814.0,1537.0,3192.0
3,7788.0,1544.0,9346.0,4063.63636364,4397.0,5967.0,57909.8901099,3557.0,745.0,31632.0,8029.0,46082.0,6791.0,2279.0,4907.0,2947.0,1956.0,42053.0,1160.0,752.0,784.0,436.0,915.0,12755.0,11624.0,17654.0,6707.0,6123.0,4607.0,13096.0,1570.0,3057.0
4,7363.0,1512.0,8877.0,3996.96969697,4124.0,5225.0,54471.4285714,3225.0,707.0,31280.0,8009.0,44979.0,6703.0,2296.0,4753.0,2874.0,1970.0,42570.0,1103.0,729.0,751.0,451.0,906.0,12031.0,10884.0,17416.0,6708.0,6036.0,4542.0,11828.0,1514.0,2808.0
5,6496.0,1502.0,8094.0,3786.86868687,3733.0,5277.0,46152.74725269999,2949.0,650.0,28676.0,7639.0,41069.0,6404.0,2175.0,4402.0,2687.0,1921.0,37327.0,1012.0,682.0,711.0,452.0,883.0,11201.0,10412.0,15274.0,6020.0,5631.0,4431.0,11237.0,1347.0,2825.0
6,6476.0,1433.0,8364.0,3842.42424242,3919.0,5668.0,47893.4065934,3087.0,687.0,28034.0,7548.0,41873.0,6555.0,2115.0,4448.0,2578.0,1937.0,35359.0,1055.0,670.0,697.0,453.0,913.0,11306.0,10634.0,14608.0,5771.0,5323.0,4205.0,11643.0,1378.0,2843.0
7,7727.0,1478.0,8968.0,4167.0,4698.0,6778.0,58922.68041240001,3564.0,757.0,30121.0,8226.0,45388.0,6744.0,2124.0,4678.0,2862.0,1912.0,39161.0,1190.0,765.0,728.0,408.0,932.0,12317.0,11680.0,17312.0,5921.0,5877.0,4269.0,13415.0,1560.0,3090.0
8,7617.0,1543.0,9013.0,4215.0,4628.0,6768.0,59526.8041237,3580.0,793.0,30413.0,8424.0,45860.0,7050.0,2210.0,4784.0,2955.0,1954.0,41615.0,1143.0,746.0,728.0,423.0,907.0,12342.0,11579.0,17333.0,5913.0,6078.0,4500.0,13142.0,1596.0,3155.0
9,7537.0,1572.0,9269.0,4240.0,4567.0,6807.0,59752.5773196,3610.0,761.0,29971.0,8469.0,46246.0,6931.0,2239.0,4906.0,2965.0,1943.0,41653.0,1120.0,669.0,722.0,419.0,928.0,12433.0,11376.0,17380.0,5834.0,6150.0,4547.0,12951.0,1647.0,3143.0
