,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IS_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics
0,5838.7754,966.80554,7875.1885,3128.5354,5735.804,5774.9814,45325.01,2683.5151,624.53864,23632.586,7589.657,40129.12,4496.951,1520.8741,3828.2146,2338.5752,1984.7426,28383.043,905.5405,625.0512,535.9027,273.0695,598.96716,10171.967,11180.249,13919.439,4723.172,4838.427,3043.3066,11390.874,1243.3003,2695.4277
1,7363.593,1216.1257,9599.341,4603.2686,7029.687,7337.366,52627.363,3384.1038,906.9979,25333.023,10755.311,66052.91,5120.289,1774.5541,4233.8433,2735.0562,2069.8364,27207.395,1103.5732,648.1229,724.8042,375.2378,997.1359,11275.723,17143.074,15748.958,5262.72,5805.4795,4976.771,17563.91,1368.1775,3135.3271
2,6786.7285,1089.3909,8945.051,3838.8716,6682.196,6778.8447,50298.88,3111.1294,819.5128,23866.393,9774.385,56173.53,4433.905,1606.9819,4068.1072,2651.4177,2059.0508,26701.379,1026.8331,660.36145,654.4058,310.71045,806.37775,10536.601,15348.186,15061.209,4882.3438,5406.8623,4194.283,15610.573,1319.8738,2981.3025
3,6689.58,1192.068,9045.25,4438.3154,6341.0303,6592.8027,47485.934,3221.379,834.2822,23616.414,10169.704,62220.234,4890.049,1663.1453,3754.4465,2563.368,2024.052,24274.117,996.31287,578.5997,676.7936,383.68884,1041.7355,10708.616,16334.478,13858.742,4964.4014,5332.8643,4902.338,16551.16,1210.8784,2859.3213
4,5659.5,940.4692,7785.992,3020.08,5251.9326,5682.909,44293.258,2620.7834,612.9115,22795.326,7574.129,39461.625,4264.611,1444.3593,3643.043,2281.9482,1957.0225,26592.121,877.1401,604.83386,531.2079,258.4979,597.5835,9953.076,11064.707,13448.113,4596.168,4639.1357,2951.1272,11404.041,1203.3716,2623.4941
5,5699.5767,954.03296,7747.675,3033.0063,5369.5933,5652.7305,44683.01,2614.8838,599.908,23576.068,7336.182,38679.73,4528.778,1510.481,3741.8713,2279.163,1963.2869,28036.469,887.8142,611.67096,524.5235,269.14764,585.8357,10090.546,10645.774,13674.131,4697.5117,4710.9014,2906.6086,10970.587,1228.727,2643.8271
6,6955.122,1082.6821,9009.684,3791.2217,6732.578,6894.5664,51159.406,3157.1147,835.0748,23613.602,9763.289,55311.254,4348.993,1581.1116,4158.7515,2619.2957,2059.938,26891.5,1062.223,667.07,670.47534,299.36273,774.5569,10652.075,15236.786,15290.861,4791.339,5417.4995,4080.6133,15631.484,1345.6163,3017.4958
7,6217.4453,1078.2264,8541.343,3746.8262,5953.4126,6062.997,45725.7,2985.1565,758.5383,22301.441,9449.098,55001.617,4294.5645,1510.7808,3539.2944,2536.063,2013.7964,23812.932,907.8629,594.511,616.1116,331.10275,903.43677,10091.545,15064.964,13178.008,4650.597,5010.8477,4336.081,15055.939,1147.6685,2700.1968
8,6189.894,1001.93036,8349.445,3383.7354,6025.272,6283.4434,47473.258,2853.9302,726.0349,22849.227,8774.805,46846.227,4059.4424,1485.0164,3863.6475,2465.4634,2013.906,25906.56,964.2808,637.5534,598.2981,268.60736,672.89954,10118.217,13278.182,14333.451,4668.326,4998.726,3502.0566,13589.102,1260.1472,2815.6343
9,5686.283,952.1246,7790.5576,3060,5449.831,5712.788,44718.555,2634.5295,611.1793,23335.52,7503.6025,39499.33,4393.089,1494.4985,3727.6694,2302.0386,1970.0717,27524.594,888.00793,613.2815,528.40234,266.2128,588.5929,10030.414,10980.88,13688.965,4673.3867,4715.2686,2963.5417,11274.25,1225.488,2657.168
